City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
87,Deputatskiy,RU,2020-04-19 05:53:40,69.3,139.9,6.87,81,100,3.96,overcast clouds,0.0,0.0
88,Nenjiang,CN,2020-04-19 05:53:40,49.18,125.22,45.36,62,100,18.92,light rain,0.67,0.0
89,Windhoek,NA,2020-04-19 05:53:40,-22.56,17.08,59.0,87,3,4.7,clear sky,0.0,0.0
90,Troitskoye,RU,2020-04-19 05:53:41,52.98,84.68,59.92,36,0,1.99,clear sky,0.0,0.0
91,Saskylakh,RU,2020-04-19 05:53:41,71.92,114.08,23.56,91,0,6.17,clear sky,0.0,0.0
92,Muswellbrook,AU,2020-04-19 05:53:41,-32.27,150.9,69.01,41,0,1.57,clear sky,0.0,0.0
93,Georgetown,MY,2020-04-19 05:51:07,5.41,100.34,91.4,70,20,8.05,few clouds,0.0,0.0
94,Pierre,US,2020-04-19 05:53:41,44.37,-100.35,43.0,56,20,12.75,few clouds,0.0,0.0
95,Panama City,PA,2020-04-19 05:50:30,8.99,-79.52,78.01,73,66,1.01,broken clouds,0.0,0.0
96,Victoria,HK,2020-04-19 05:51:32,22.29,114.16,82.0,86,29,8.01,scattered clouds,0.0,0.0
97,Yermakovskoye,RU,2020-04-19 05:53:42,53.28,92.4,60.06,29,0,6.87,clear sky,0.0,0.0
98,Vallenar,CL,2020-04-19 05:53:42,-28.57,-70.76,60.12,57,0,0.34,clear sky,0.0,0.0
99,Port Lincoln,AU,2020-04-19 05:52:20,-34.73,135.87,69.04,46,95,15.73,overcast clouds,0.0,0.0
100,Chatakonda,IN,2020-04-19 05:53:42,17.55,80.65,101.41,29,13,6.13,few clouds,0.0,0.0
101,Balabac,PH,2020-04-19 05:53:43,7.99,117.06,87.82,66,9,10.6,clear sky,0.0,0.0
102,Sumbawanga,TZ,2020-04-19 05:53:43,-7.97,31.62,60.8,87,20,4.7,few clouds,0.0,0.0
103,Necochea,AR,2020-04-19 05:49:46,-38.55,-58.74,60.01,86,93,8.01,overcast clouds,0.0,0.0
104,Mahon,ES,2020-04-19 05:53:43,39.89,4.27,60.8,100,75,13.87,light rain,0.0,0.0
105,Kodiak,US,2020-04-19 05:53:44,57.79,-152.41,44.6,75,90,8.05,overcast clouds,0.0,0.0
106,Khandyga,RU,2020-04-19 05:53:44,62.67,135.6,15.98,85,67,5.95,broken clouds,0.0,0.0
107,Isangel,VU,2020-04-19 05:53:44,-19.55,169.27,77.0,88,75,5.82,broken clouds,0.0,0.0
108,Atasu,KZ,2020-04-19 05:53:44,48.68,71.64,66.33,25,37,8.19,scattered clouds,0.0,0.0
109,Caririacu,BR,2020-04-19 05:53:45,-7.04,-39.28,65.3,84,89,0.4,light rain,0.28,0.0
110,Malindi,KE,2020-04-19 05:53:45,-3.22,40.12,79.38,85,100,18.3,moderate rain,6.98,0.0
111,Tongliao,CN,2020-04-19 05:53:45,43.61,122.27,66.69,25,100,22.93,overcast clouds,0.0,0.0
112,Avarua,CK,2020-04-19 05:53:46,-21.21,-159.78,78.8,74,47,8.05,scattered clouds,0.0,0.0
113,Manbij,SY,2020-04-19 05:53:47,36.53,37.95,64.4,55,15,3.15,few clouds,0.0,0.0
114,Akdagmadeni,TR,2020-04-19 05:53:47,39.66,35.88,55.36,30,0,4.76,clear sky,0.0,0.0
115,Hammerfest,NO,2020-04-19 05:50:37,70.66,23.68,37.4,100,98,23.04,light rain,0.19,0.0
116,Vila Velha,BR,2020-04-19 05:53:47,-20.33,-40.29,73.99,83,75,4.7,broken clouds,0.0,0.0
117,Saint Anthony,US,2020-04-19 05:51:18,45.02,-93.22,48.99,52,1,9.17,clear sky,0.0,0.0
118,Sao Felix Do Xingu,BR,2020-04-19 05:52:11,-6.64,-51.99,70.95,91,99,2.59,light rain,1.04,0.0
119,Dingle,PH,2020-04-19 05:53:24,11.0,122.67,91.69,45,14,14.76,few clouds,0.0,0.0
120,Diego De Almagro,CL,2020-04-19 05:53:48,-26.37,-70.05,56.84,49,0,0.29,clear sky,0.0,0.0
121,Atuona,PF,2020-04-19 05:53:48,-9.8,-139.03,82.45,75,68,16.37,broken clouds,0.0,0.0
122,San Cristobal,VE,2020-04-19 05:51:05,7.77,-72.22,65.93,60,45,0.89,light rain,0.13,0.0
123,Jiayuguan,CN,2020-04-19 05:53:49,39.82,98.3,56.07,18,79,13.98,broken clouds,0.0,0.0
124,Broome,US,2020-04-19 05:53:49,42.25,-75.83,32.0,91,1,8.05,clear sky,0.0,0.0
125,Cayenne,GF,2020-04-19 05:53:49,4.93,-52.33,77.0,94,75,2.24,broken clouds,0.0,0.0
126,Carnarvon,AU,2020-04-19 05:50:56,-24.87,113.63,82.4,58,14,18.34,few clouds,0.0,0.0
127,Haines Junction,CA,2020-04-19 05:53:49,60.75,-137.51,42.82,51,0,1.21,clear sky,0.0,0.0
128,Dandong,CN,2020-04-19 05:53:50,40.13,124.39,51.69,77,100,10.38,light rain,1.12,0.0
129,Kindu,CD,2020-04-19 05:51:58,-2.95,25.95,74.39,73,98,0.34,overcast clouds,0.0,0.0
130,Zavitinsk,RU,2020-04-19 05:53:50,50.12,129.45,64.49,25,100,17.18,overcast clouds,0.0,0.0
131,Nemuro,JP,2020-04-19 05:51:14,43.32,145.57,51.8,40,75,11.41,broken clouds,0.0,0.0
132,Faanui,PF,2020-04-19 05:51:24,-16.48,-151.75,83.16,74,71,13.04,light rain,0.54,0.0
133,Camacha,PT,2020-04-19 05:53:51,33.08,-16.33,60.8,77,40,11.41,scattered clouds,0.0,0.0
134,Thompson,CA,2020-04-19 05:51:19,55.74,-97.86,-0.4,64,5,3.96,clear sky,0.0,0.0
135,Ulaangom,MN,2020-04-19 05:53:51,49.98,92.07,42.71,40,0,5.03,clear sky,0.0,0.0
136,Marakkanam,IN,2020-04-19 05:53:51,12.2,79.95,90.09,57,15,10.87,few clouds,0.0,0.0
137,Jacareacanga,BR,2020-04-19 05:53:51,-6.22,-57.75,72.91,95,99,2.64,moderate rain,6.87,0.0
138,Kismayo,SO,2020-04-19 05:53:52,-0.36,42.55,84.97,71,100,7.9,light rain,1.14,0.0
139,Gornopravdinsk,RU,2020-04-19 05:51:44,60.05,69.9,49.15,55,98,11.25,overcast clouds,0.0,0.0
140,Trinidad,BO,2020-04-19 05:53:52,-14.83,-64.9,63.14,72,25,2.86,scattered clouds,0.0,0.0
141,Businga,CD,2020-04-19 05:53:52,3.33,20.88,73.8,75,77,2.89,light rain,0.11,0.0
142,Port Blair,IN,2020-04-19 05:51:18,11.67,92.75,84.69,75,14,9.62,light rain,0.24,0.0
143,Plettenberg Bay,ZA,2020-04-19 05:53:53,-34.05,23.37,76.91,31,56,10.65,broken clouds,0.0,0.0
144,Lubao,PH,2020-04-19 05:53:53,14.92,120.55,95.0,53,75,4.7,broken clouds,0.0,0.0
145,Port Macquarie,AU,2020-04-19 05:53:53,-31.43,152.92,73.0,71,8,3.0,light rain,2.29,0.0
146,Bairiki,KI,2020-04-19 05:53:53,1.33,172.98,84.2,83,75,5.82,shower rain,0.0,0.0
147,Norman Wells,CA,2020-04-19 05:51:19,65.28,-126.83,32.0,96,90,6.93,light snow,0.0,0.0
148,Coihaique,CL,2020-04-19 05:53:54,-45.58,-72.07,42.8,87,99,8.05,light rain,0.84,0.0
149,Flinders,AU,2020-04-19 05:53:54,-34.58,150.86,68.0,74,37,1.01,light rain,0.14,0.0
150,Richards Bay,ZA,2020-04-19 05:53:54,-28.78,32.04,72.75,75,28,9.1,scattered clouds,0.0,0.0
151,Hualmay,PE,2020-04-19 05:53:55,-11.1,-77.61,69.1,82,17,4.85,few clouds,0.0,0.0
152,Vila,PT,2020-04-19 05:53:55,42.03,-8.16,48.2,100,75,2.24,fog,0.0,0.0
153,Geraldton,AU,2020-04-19 05:51:44,-28.77,114.6,77.0,47,40,18.34,scattered clouds,0.0,0.0
154,Mayumba,GA,2020-04-19 05:53:56,-3.43,10.66,78.96,86,86,3.47,light rain,0.11,0.0
155,Lompoc,US,2020-04-19 05:53:56,34.64,-120.46,51.8,76,1,6.73,clear sky,0.0,0.0
156,Najran,SA,2020-04-19 05:53:56,17.49,44.13,80.6,42,75,6.93,broken clouds,0.0,0.0
157,Salalah,OM,2020-04-19 05:53:57,17.02,54.09,84.2,66,75,6.93,broken clouds,0.0,0.0
158,Atar,MR,2020-04-19 05:52:16,20.52,-13.05,61.29,60,0,9.78,clear sky,0.0,0.0
159,Smirnykh,RU,2020-04-19 05:53:57,49.75,142.83,42.64,65,38,11.05,scattered clouds,0.0,0.0
160,Titay,PH,2020-04-19 05:53:57,7.81,122.53,86.9,62,31,6.2,scattered clouds,0.0,0.0
161,Rayong,TH,2020-04-19 05:53:57,12.83,101.43,89.55,57,63,8.03,broken clouds,0.0,0.0
162,Ust-Uda,RU,2020-04-19 05:53:58,54.17,103.03,37.71,49,0,12.35,clear sky,0.0,0.0
163,Aklavik,CA,2020-04-19 05:51:18,68.22,-135.01,19.4,79,90,6.93,overcast clouds,0.0,0.0
164,Nhulunbuy,AU,2020-04-19 05:53:58,-12.23,136.77,87.8,66,73,9.17,light rain,0.65,0.0
165,Ust-Tsilma,RU,2020-04-19 05:53:58,65.44,52.15,35.24,95,100,4.18,light snow,0.0,0.37
166,Kaseda,JP,2020-04-19 05:53:58,31.42,130.32,66.2,59,90,10.29,overcast clouds,0.0,0.0
167,Saint-Philippe,RE,2020-04-19 05:50:50,-21.36,55.77,82.4,65,20,21.92,few clouds,0.0,0.0
168,Acapulco,MX,2020-04-19 05:53:59,16.86,-99.89,77.0,83,5,3.36,clear sky,0.0,0.0
169,Apt,FR,2020-04-19 05:53:59,43.88,5.4,57.2,100,90,5.82,light rain,0.0,0.0
170,Esperance,AU,2020-04-19 05:53:59,-33.87,121.9,69.8,56,40,19.46,scattered clouds,0.0,0.0
171,Macapa,BR,2020-04-19 05:53:59,0.04,-51.07,80.6,100,40,5.82,scattered clouds,0.0,0.0
172,Kharp,RU,2020-04-19 05:54:00,66.8,65.81,33.67,89,96,0.51,overcast clouds,0.0,0.0
173,Flin Flon,CA,2020-04-19 05:54:00,54.77,-101.86,16.7,94,83,5.35,broken clouds,0.0,0.0
174,Golden,US,2020-04-19 05:54:00,39.76,-105.22,46.99,75,40,4.05,scattered clouds,0.0,0.0
175,Manzanillo,CU,2020-04-19 05:54:00,20.34,-77.12,75.38,80,5,2.55,clear sky,0.0,0.0
176,Itarema,BR,2020-04-19 05:54:00,-2.92,-39.92,75.9,87,21,2.82,few clouds,0.0,0.0
177,Havoysund,NO,2020-04-19 05:54:01,71.0,24.66,37.4,100,93,23.04,light rain,0.15,0.0
178,Elat,IL,2020-04-19 05:51:24,29.56,34.95,69.8,56,20,11.41,few clouds,0.0,0.0
179,Arlit,NE,2020-04-19 05:54:01,18.74,7.39,82.54,12,12,8.25,few clouds,0.0,0.0
180,Mar Del Plata,AR,2020-04-19 05:54:01,-38.0,-57.56,63.0,87,42,10.29,scattered clouds,0.0,0.0
181,Manta,EC,2020-04-19 05:54:02,-0.95,-80.73,75.2,88,75,3.36,broken clouds,0.0,0.0
182,Fortuna,US,2020-04-19 05:53:48,40.6,-124.16,52.0,100,90,3.36,overcast clouds,0.0,0.0
183,Coquimbo,CL,2020-04-19 05:50:56,-29.95,-71.34,55.4,93,4,6.93,mist,0.0,0.0
184,Tefe,BR,2020-04-19 05:54:02,-3.35,-64.71,73.72,95,100,1.59,light rain,1.76,0.0
185,Tessalit,ML,2020-04-19 05:54:03,20.2,1.01,74.48,23,91,7.29,overcast clouds,0.0,0.0
186,Farmington,US,2020-04-19 05:54:03,36.73,-108.22,51.8,33,90,9.17,light rain,0.0,0.0
187,Assiniboia,CA,2020-04-19 05:53:44,49.63,-105.98,29.23,69,5,2.21,clear sky,0.0,0.0
188,Bela,IN,2020-04-19 05:51:41,25.93,81.98,105.94,9,76,12.59,broken clouds,0.0,0.0
189,Kaeo,NZ,2020-04-19 05:51:19,-35.1,173.78,64.99,83,100,6.04,overcast clouds,0.0,0.0
190,Tasiilaq,GL,2020-04-19 05:53:46,65.61,-37.64,30.2,92,99,11.41,light shower snow,0.0,0.0
191,Alofi,NU,2020-04-19 05:54:04,-19.06,-169.92,80.6,78,2,13.87,clear sky,0.0,0.0
192,Northview,US,2020-04-19 05:52:49,43.05,-85.6,48.99,57,1,18.34,clear sky,0.0,0.0
193,Moerai,PF,2020-04-19 05:54:04,-22.43,-151.33,80.4,80,19,11.79,light rain,0.2,0.0
194,Quatre Cocos,MU,2020-04-19 05:53:33,-20.21,57.76,80.6,61,20,12.75,few clouds,0.0,0.0
195,Piet Retief,ZA,2020-04-19 05:54:06,-27.01,30.81,58.89,64,52,0.72,light rain,0.12,0.0
196,Sao Joao Da Barra,BR,2020-04-19 05:51:24,-21.64,-41.05,70.11,80,100,8.3,overcast clouds,0.0,0.0
197,San Lazaro,BZ,2020-04-19 05:54:06,18.04,-88.66,73.36,95,7,3.96,clear sky,0.0,0.0
198,Tazovskiy,RU,2020-04-19 05:54:06,67.47,78.7,36.9,98,100,21.21,light rain,0.38,0.0
199,Nevelsk,RU,2020-04-19 05:54:06,46.67,141.86,42.8,55,0,8.95,clear sky,0.0,0.0
200,Josanicka Banja,RS,2020-04-19 05:54:07,43.39,20.75,48.2,100,99,2.26,overcast clouds,0.0,0.0
201,Namibe,AO,2020-04-19 05:50:52,-15.2,12.15,75.58,69,50,7.05,light rain,0.48,0.0
